cell,gene,n,n_pos,available,reason,threshold,roc_auc,pr_auc,brier,ece_uniform,ece_adaptive,mce,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,npv,f1_pathogenic,f1_macro,f1_weighted,mcc,tn,fp,fn,tp
esm_frozen_pllr-concat_seed42,MLH1,208,171,True,,0.4886279853812593,0.9275327959538486,0.9840741477992008,0.13298445191527178,0.1256049938982211,0.12166878495591346,0.82446192,0.8461538461538461,0.8428955271060534,0.9602649006622517,0.847953216374269,0.847953216374269,0.8378378378378378,0.543859649122807,0.9006211180124224,0.7800977930487644,0.8577426274003519,0.5879830834737502,31.0,6.0,26.0,145.0
esm_frozen_pllr-concat_seed42,MSH2,335,134,True,,0.7492142055850709,0.8704425633028886,0.8251857921037424,0.22919728360157515,0.24739058812149256,0.24505692579313434,0.8335961733333334,0.7701492537313432,0.791044776119403,0.6557377049180327,0.8955223880597015,0.8955223880597015,0.6865671641791045,0.9078947368421053,0.7570977917981072,0.7694837400916882,0.7719609297504043,0.5727866580598955,138.0,63.0,14.0,120.0
esm_frozen_pllr-concat_seed42,MSH6,119,58,True,,0.1520363979123067,0.857263990955342,0.8761811742336755,0.2169693274213093,0.22402343856947898,0.2063506963187563,0.8723474,0.773109243697479,0.7689372526851328,0.8974358974358975,0.603448275862069,0.603448275862069,0.9344262295081968,0.7125,0.7216494845360825,0.7650800614169774,0.766174949909773,0.5727730520379799,57.0,4.0,23.0,35.0
esm_frozen_pllr-concat_seed42,PMS2,21,17,False,minority_class<5,0.2150131551632694,,,,,,,,,,,,,,,,,,,,,
esm_frozen_pllr-off_seed42,MLH1,208,171,True,,0.7403773991300258,0.9255571360834519,0.9833273354331801,0.13539219622702794,0.1348078016380769,0.13688214404192306,0.914280887,0.8125,0.8224276908487435,0.9583333333333334,0.8070175438596491,0.8070175438596491,0.8378378378378378,0.484375,0.8761904761904762,0.7450259311645451,0.8295261669024044,0.5343059528700059,31.0,6.0,33.0,138.0
esm_frozen_pllr-off_seed42,MSH2,335,134,True,,0.7117257754057646,0.8712036830771516,0.8161570789998505,0.22994782581612158,0.24711703674000007,0.24714907748029852,0.64686768,0.7671641791044777,0.7885572139303483,0.6521739130434783,0.8955223880597015,0.8955223880597015,0.681592039800995,0.9072847682119205,0.7547169811320755,0.7665630360205833,0.7689322469982848,0.5682179834750122,137.0,64.0,14.0,120.0
esm_frozen_pllr-off_seed42,MSH6,119,58,True,,0.9048980581256184,0.8941492368569813,0.9063377424598597,0.17984253348081408,0.18119288580848741,0.16631534920058821,0.77458341,0.7563025210084033,0.7504239683436971,0.967741935483871,0.5172413793103449,0.5172413793103449,0.9836065573770492,0.6818181818181818,0.6741573033707865,0.7397632154437825,0.7414171460002447,0.570377808566528,60.0,1.0,28.0,30.0
esm_frozen_pllr-off_seed42,PMS2,21,17,False,minority_class<5,0.0985173033890896,,,,,,,,,,,,,,,,,,,,,
esm_frozen_pllr-residual_seed42,MLH1,208,171,True,,0.3454675894037354,0.9271376639797693,0.9838969685247112,0.15558382859310754,0.17769895650673062,0.16512725871826925,0.8469459075,0.8076923076923077,0.8300932511458827,0.9645390070921985,0.7953216374269005,0.7953216374269005,0.8648648648648649,0.47761194029850745,0.8717948717948718,0.7435897435897436,0.8261834319526626,0.5402796381901326,32.0,5.0,35.0,136.0
esm_frozen_pllr-residual_seed42,MSH2,335,134,True,,0.5594593752920627,0.9082943491497735,0.8544017688443041,0.23559164161586407,0.2941058167462687,0.29880027997014924,0.6753554654545454,0.6746268656716418,0.7176616915422886,0.5555555555555556,0.9328358208955224,0.9328358208955224,0.5024875621890548,0.9181818181818182,0.6963788300835655,0.6729482574855126,0.668262142965902,0.4541243840942218,101.0,100.0,9.0,125.0
